name,MS-SSIM,PSNR,category,quality,size
00002_1K_low_pipeline_3.png,0.934501,33.0297,pipeline_3,low,1K
00002_1K_low_pipeline_4.png,0.950994,34.9957,pipeline_4,low,1K
00002_1K_low_pipeline_5.png,0.956678,35.2417,pipeline_5,low,1K
00002_1K_low_pipeline_6.png,0.946702,34.5095,pipeline_6,low,1K
00002_1K_medium_pipeline_1.png,0.972661,39.875,pipeline_1,medium,1K
00002_1K_medium_pipeline_2.png,0.939756,32.2,pipeline_2,medium,1K
00002_1K_medium_pipeline_3.png,0.962923,36.5287,pipeline_3,medium,1K
00002_1K_medium_pipeline_4.png,0.956629,35.6793,pipeline_4,medium,1K
00002_1K_medium_pipeline_5.png,0.96294,35.8276,pipeline_5,medium,1K
00002_1K_medium_pipeline_6.png,0.951764,35.3473,pipeline_6,medium,1K
00002_SD_high_pipeline_1.png,0.983404,41.7503,pipeline_1,high,SD
00002_SD_high_pipeline_2.png,0.965626,35.0784,pipeline_2,high,SD
00002_SD_high_pipeline_3.png,0.976847,37.8838,pipeline_3,high,SD
00002_SD_high_pipeline_4.png,0.960248,35.8557,pipeline_4,high,SD
00002_SD_high_pipeline_5.png,0.973225,36.9752,pipeline_5,high,SD
00002_SD_high_pipeline_6.png,0.971786,37.5512,pipeline_6,high,SD
00002_SD_low_pipeline_1.png,0.966456,38.6784,pipeline_1,low,SD
00002_SD_low_pipeline_2.png,0.949989,33.4784,pipeline_2,low,SD
00002_SD_low_pipeline_3.png,0.956596,35.4384,pipeline_3,low,SD
00002_SD_low_pipeline_4.png,0.976194,40.1537,pipeline_4,low,SD
00002_SD_low_pipeline_5.png,0.958723,35.2539,pipeline_5,low,SD
00002_SD_low_pipeline_6.png,0.944059,34.4072,pipeline_6,low,SD
00002_SD_medium_pipeline_1.png,0.971622,39.6023,pipeline_1,medium,SD
00002_SD_medium_pipeline_2.png,0.954565,33.9604,pipeline_2,medium,SD
00002_SD_medium_pipeline_3.png,0.964363,36.5677,pipeline_3,medium,SD
